,Day,Trips,OrigCode,DestCode,Origin,Destination,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
174,Friday,902,30111,30105,Stovner,Frogner,19116,48082,5.04,5.35,489000,464000,13955.437619122506
175,Friday,332,30111,30106,Stovner,Ullern,19116,38334,5.04,7.1,489000,648000,16868.429279781103
176,Friday,282,30111,30107,Stovner,Vestre Aker,19116,13362,5.04,11.55,489000,688000,16700.546607713357
177,Friday,900,30111,30108,Stovner,Nordre Aker,19116,42238,5.04,10.5,489000,578000,11485.523321450257
178,Friday,1946,30111,30109,Stovner,Bjerke,19116,22537,5.04,5.85,489000,490000,6709.052225627949
179,Friday,3735,30111,30110,Stovner,Grorud,19116,9297,5.04,4.37,489000,453000,3712.716304162864
180,Friday,18918,30111,30111,Stovner,Stovner,19116,9490,5.04,5.04,489000,489000,0.0
181,Friday,4519,30111,30112,Stovner,Alna,19116,31427,5.04,9.23,489000,477000,10772.70074443706
182,Friday,378,30111,30113,Stovner,Østensjø,19116,12470,5.04,7.66,489000,539000,10991.962179424692
183,Friday,260,30111,30114,Stovner,Nordstrand,19116,11179,5.04,11.83,489000,607000,13988.400529021275
184,Friday,183,30111,30115,Stovner,Søndre Nordstrand,19116,6701,5.04,6.16,489000,539000,19536.192242438407
185,Friday,1934,30111,30116,Stovner,Sentrum,19116,77995,5.04,1.4,489000,335000,12165.731278640567
186,Friday,14,30111,30117,Stovner,Marka,19116,793,5.04,5.699999999999999,489000,625000,19680.32393097136
187,Friday,5985,30112,30101,Alna,Gamle Oslo,30341,43121,9.23,4.75,477000,453000,6162.169629051199
188,Friday,3076,30112,30102,Alna,Grünerløkka,30341,29560,9.23,3.65,477000,450000,5900.396441537357
189,Friday,1570,30112,30103,Alna,Sagene,30341,19408,9.23,2.34,477000,461000,7381.031137485456
190,Friday,2472,30112,30104,Alna,St. Hanshaugen,30341,54104,9.23,2.8,477000,430000,8750.776785544916
191,Friday,2193,30112,30105,Alna,Frogner,30341,48082,9.23,5.35,477000,464000,10048.405792950687
192,Friday,943,30112,30106,Alna,Ullern,30341,38334,9.23,7.1,477000,648000,13451.294209522308
193,Friday,894,30112,30107,Alna,Vestre Aker,30341,13362,9.23,11.55,477000,688000,13842.058116678594
194,Friday,2422,30112,30108,Alna,Nordre Aker,30341,42238,9.23,10.5,477000,578000,8627.034830415494
195,Friday,6508,30112,30109,Alna,Bjerke,30341,22537,9.23,5.85,477000,490000,4363.448409157616
196,Friday,4440,30112,30110,Alna,Grorud,30341,9297,9.23,4.37,477000,453000,5366.03989645708
197,Friday,5736,30112,30111,Alna,Stovner,30341,9490,9.23,5.04,477000,489000,6093.400621247872
198,Friday,38408,30112,30112,Alna,Alna,30341,31427,9.23,9.23,477000,477000,0.0
199,Friday,4647,30112,30113,Alna,Østensjø,30341,12470,9.23,7.66,477000,539000,5339.961625274023
200,Friday,1935,30112,30114,Alna,Nordstrand,30341,11179,9.23,11.83,477000,607000,9187.049789492246
201,Friday,1120,30112,30115,Alna,Søndre Nordstrand,30341,6701,9.23,6.16,477000,539000,13884.191688287743
202,Friday,4149,30112,30116,Alna,Sentrum,30341,77995,9.23,1.4,477000,335000,7852.706895811375
203,Friday,162,30112,30117,Alna,Marka,30341,793,9.23,5.699999999999999,477000,625000,16821.835439936596
204,Friday,4375,30113,30101,Østensjø,Gamle Oslo,30474,43121,7.66,4.75,539000,453000,5298.810242808733
205,Friday,1810,30113,30102,Østensjø,Grünerløkka,30474,29560,7.66,3.65,539000,450000,5739.309457199447
206,Friday,906,30113,30103,Østensjø,Sagene,30474,19408,7.66,2.34,539000,461000,7682.7065212751295
207,Friday,2672,30113,30104,Østensjø,St. Hanshaugen,30474,54104,7.66,2.8,539000,430000,8589.689801207005
208,Friday,2058,30113,30105,Østensjø,Frogner,30474,48082,7.66,5.35,539000,464000,8210.104530633964
209,Friday,955,30113,30106,Østensjø,Ullern,30474,38334,7.66,7.1,539000,648000,12587.934823279842
210,Friday,730,30113,30107,Østensjø,Vestre Aker,30474,13362,7.66,11.55,539000,688000,14089.553530858646
211,Friday,1954,30113,30108,Østensjø,Nordre Aker,30474,42238,7.66,10.5,539000,578000,9246.791507761034
212,Friday,1623,30113,30109,Østensjø,Bjerke,30474,22537,7.66,5.85,539000,490000,6875.590209250571
213,Friday,449,30113,30110,Østensjø,Grorud,30474,9297,7.66,4.37,539000,453000,10373.860829488074
214,Friday,428,30113,30111,Østensjø,Stovner,30474,9490,7.66,5.04,539000,489000,11101.22155427886
215,Friday,4433,30113,30112,Østensjø,Alna,30474,31427,7.66,9.23,539000,477000,7318.668630063553
216,Friday,30981,30113,30113,Østensjø,Østensjø,30474,12470,7.66,7.66,539000,539000,0.0
217,Friday,5726,30113,30114,Østensjø,Nordstrand,30474,11179,7.66,11.83,539000,607000,3847.088164218221
218,Friday,2113,30113,30115,Østensjø,Søndre Nordstrand,30474,6701,7.66,6.16,539000,539000,8544.23006301372
219,Friday,4055,30113,30116,Østensjø,Sentrum,30474,77995,7.66,1.4,539000,335000,6989.347509568909
220,Friday,79,30113,30117,Østensjø,Marka,30474,793,7.66,5.699999999999999,539000,625000,17441.592117282136
221,Friday,4337,30114,30101,Nordstrand,Gamle Oslo,30471,43121,11.83,4.75,607000,453000,5547.74419253047
222,Friday,1793,30114,30102,Nordstrand,Grünerløkka,30471,29560,11.83,3.65,607000,450000,7332.81293689462
223,Friday,813,30114,30103,Nordstrand,Sagene,30471,19408,11.83,2.34,607000,461000,8654.556418226486
224,Friday,2914,30114,30104,Nordstrand,St. Hanshaugen,30471,54104,11.83,2.8,607000,430000,8528.379772529472
225,Friday,2741,30114,30105,Nordstrand,Frogner,30471,48082,11.83,5.35,607000,464000,9324.85879625824
226,Friday,1194,30114,30106,Nordstrand,Ullern,30471,38334,11.83,7.1,607000,648000,9029.777763851038
227,Friday,877,30114,30107,Nordstrand,Vestre Aker,30471,13362,11.83,11.55,607000,688000,13204.262242109036
228,Friday,1774,30114,30108,Nordstrand,Nordre Aker,30471,42238,11.83,10.5,607000,578000,10348.827705908012
229,Friday,1057,30114,30109,Nordstrand,Bjerke,30471,22537,11.83,5.85,607000,490000,9666.618678170633
230,Friday,271,30114,30110,Nordstrand,Grorud,30471,9297,11.83,4.37,607000,453000,13600.076537236824
231,Friday,285,30114,30111,Nordstrand,Stovner,30471,9490,11.83,5.04,607000,489000,14327.437262027604
232,Friday,1879,30114,30112,Nordstrand,Alna,30471,31427,11.83,9.23,607000,477000,10109.697098983614
233,Friday,5267,30114,30113,Nordstrand,Østensjø,30471,12470,11.83,7.66,607000,539000,3856.586982119528
234,Friday,38128,30114,30114,Nordstrand,Nordstrand,30471,11179,11.83,11.83,607000,607000,0.0
235,Friday,4988,30114,30115,Nordstrand,Søndre Nordstrand,30471,6701,11.83,6.16,607000,539000,6448.212437264256
236,Friday,4790,30114,30116,Nordstrand,Sentrum,30471,77995,11.83,1.4,607000,335000,5744.091039045937
237,Friday,12,30114,30117,Nordstrand,Marka,30471,793,11.83,5.699999999999999,607000,625000,18624.87940133616
238,Friday,2023,30115,30101,Søndre Nordstrand,Gamle Oslo,23438,43121,6.16,4.75,539000,453000,11762.597643446326
239,Friday,949,30115,30102,Søndre Nordstrand,Grünerløkka,23438,29560,6.16,3.65,539000,450000,13644.911152631446
240,Friday,340,30115,30103,Søndre Nordstrand,Sagene,23438,19408,6.16,2.34,539000,461000,14966.654633963311
241,Friday,1623,30115,30104,Søndre Nordstrand,St. Hanshaugen,23438,54104,6.16,2.8,539000,430000,14606.1046028818
242,Friday,1216,30115,30105,Søndre Nordstrand,Frogner,23438,48082,6.16,5.35,539000,464000,11064.582876695413
243,Friday,438,30115,30106,Søndre Nordstrand,Ullern,23438,38334,6.16,7.1,539000,648000,17048.404236492068
